[2019-09-11 00:30:06,706][DEBUG|dayStoreAppParse.py:66] >>  Hello Parser! 
[2019-09-11 00:30:21,946][DEBUG|dayStoreAppParse.py:27] >> EWA English  초급자를 위한 영어 학습, com.ewa.ewaapp, 교육, Lithium Lab Pte Ltd, 1000000.0, 98742.0, 4.6, 100, 24, 4, 0, 3, 2019년 9월 5일, http://www.appewa.com, Lithium+Lab+Pte+Ltd, 
[2019-09-11 00:30:32,183][DEBUG|dayStoreAppParse.py:27] >> 매직씽 아싸노래방 : 모두를 위한 모바일 노래방, com.entermedia.mobile.karaoke, 음악/오디오, ENTERMEDIA Co., Ltd., 1000000.0, 20470.0, 4.1, 100, 13, 8, 4, 22, 2019년 7월 21일, mailto:magicsingkaraoke@entermedia.xyz, ENTERMEDIA+Co.,+Ltd., 
[2019-09-11 00:30:42,373][DEBUG|dayStoreAppParse.py:27] >> 헬로우봇 - 타로챗봇 라마마와 친구들, com.thingsflow.hellobot, 소셜, thingsflow Inc., 500000.0, 16996.0, 4.6, 100, 18, 6, 1, 5, 2019년 8월 9일, http://hellobot.co, thingsflow+Inc., 
[2019-09-11 00:30:52,633][DEBUG|dayStoreAppParse.py:27] >> CamScanner - 문서를 PDF로 스캔하기, com.intsig.camscanner, 생산성, INTSIG Information Co.,Ltd, 100000000.0, 1891467.0, 4.5, 100, 16, 4, 1, 6, 2019년 9월 10일, http://www.camscanner.net, INTSIG+Information+Co.,Ltd, 
[2019-09-11 00:31:02,794][DEBUG|dayStoreAppParse.py:27] >> 코끼리 - 숙면, 스트레스 해소, 명상, com.mindclass.android, 건강/운동, 코끼리 명상, 50000.0, 74.0, 4.6, 100, 23, 3, 0, 5, 2019년 9월 6일, http://www.kokkiri.kr, %EC%BD%94%EB%81%BC%EB%A6%AC+%EB%AA%85%EC%83%81, 
[2019-09-11 00:31:13,090][DEBUG|dayStoreAppParse.py:27] >> Face Master App - carton emoji, carton.emoji.aging.camera, 사진, Face Camera Lab, 100000.0, 9736.0, 3.9, 100, 15, 8, 4, 31, 2019년 9월 2일, mailto:sinalu37@gmail.com, Face+Camera+Lab, 
[2019-09-11 00:31:23,469][DEBUG|dayStoreAppParse.py:27] >> Tango: 무료 영상 통화 및 문자, com.sgiggle.production, 소셜, Tango, 100000000.0, 3803632.0, 4.4, 100, 18, 9, 3, 9, 2019년 9월 8일, http://www.tango.me, Tango, 
[2019-09-11 00:31:33,748][DEBUG|dayStoreAppParse.py:27] >> 사진 편집, 영상 편집,  콜라주 메이커를 하나로! 세계 유일의 어플, Instasize, com.jsdev.instasize, 사진, Instasize, Inc., 50000000.0, 853368.0, 3.9, 100, 24, 9, 3, 36, 2019년 9월 10일, http://instasize.com%20, , 5679077225552137504
[2019-09-11 00:31:44,019][DEBUG|dayStoreAppParse.py:27] >> 실시간 일기예보 및 레이더, com.apalon.weatherradar.free, 날씨, Apalon Apps, 10000000.0, 294845.0, 4.3, 100, 35, 8, 2, 13, 2019년 8월 28일, http://apalon.com, , 7148047194848561719
[2019-09-11 00:31:54,296][DEBUG|dayStoreAppParse.py:27] >> 커넥팅 - 심심할 때 통화할 편한 친구, com.yangpark.connecting, 소셜, YP Labs Co, 10000.0, 521.0, 3.0, 100, 32, 29, 35, 96, 2019년 9월 1일, https://www.connectingapp.co.kr, YP+Labs+Co, 
[2019-09-11 00:32:04,673][DEBUG|dayStoreAppParse.py:27] >> 한컴오피스 한글, com.hancom.office.hwp.editor.hwp_apk.gplaystore, 비즈니스, Hancom Inc., 10000.0, 720.0, 2.8, 65, 36, 68, 14, 100, 2019년 9월 2일, http://www.hancom.com, Hancom+Inc., 
[2019-09-11 00:32:14,972][DEBUG|dayStoreAppParse.py:27] >> Life360 - 가족 위치추적기, com.life360.android.safetymapd, 라이프스타일, Life360, 50000000.0, 1073764.0, 4.5, 100, 23, 5, 2, 5, 2019년 8월 26일, http://www.life360.com, Life360, 
[2019-09-11 00:32:35,602][DEBUG|dayStoreAppParse.py:27] >> Mixart Photo Editor - 만화 이펙트, 콜라주 메이커, com.idealpiclab.photoeditorpro, 사진, Ideal Pic Lab, 1000000.0, 6558.0, 2.8, 76, 14, 9, 4, 100, 2019년 9월 9일, mailto:idealpiclab2018@gmail.com, Ideal+Pic+Lab, 
[2019-09-11 00:32:45,825][DEBUG|dayStoreAppParse.py:27] >> VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플, com.darinsoft.vimo, 동영상 플레이어/편집기, vimosoft, 1000000.0, 41861.0, 4.0, 100, 33, 15, 8, 19, 2019년 9월 4일, http://www.vimosoft.com, vimosoft, 
[2019-09-11 00:32:55,992][DEBUG|dayStoreAppParse.py:27] >> HelloTalk 헬로톡-무료 외국어 언어 교환, com.hellotalk, 교육, HelloTalk Learn Languages App, 5000000.0, 101686.0, 4.0, 100, 27, 12, 6, 22, 2019년 9월 10일, http://www.HelloTalk.com, HelloTalk+Learn+Languages+App, 
[2019-09-11 00:33:06,422][DEBUG|dayStoreAppParse.py:27] >> 가까워톡 클래식 - (메신저형 채팅, 친구만들기, 리워드), kakkawotalk.com.chatting, 커뮤니케이션, 링크인톡, 50000.0, 386.0, 4.6, 100, 0, 0, 0, 8, 2019년 9월 6일, http://kakkawotalk.com/, %EB%A7%81%ED%81%AC%EC%9D%B8%ED%86%A1, 
[2019-09-11 00:33:16,760][DEBUG|dayStoreAppParse.py:27] >> 업라이브Uplive, com.asiainno.uplive, 소셜, Asia Innovations HK Limited, 10000000.0, 117160.0, 4.3, 100, 8, 7, 3, 16, 2019년 8월 15일, http://www.upliveapp.com, Asia+Innovations+HK+Limited, 
[2019-09-11 00:33:27,157][DEBUG|dayStoreAppParse.py:27] >> 스픽 (Speak): 영어회화, 스피킹, 발음, com.selabs.speak, 교육, Speakeasy Labs, 10000.0, 536.0, 4.9, 100, 3, 0, 1, 0, 2019년 8월 24일, http://usespeak.com, Speakeasy+Labs, 
[2019-09-11 00:33:37,501][DEBUG|dayStoreAppParse.py:27] >> 레진코믹스 - 매일 무료 웹툰, com.lezhin.comics, 만화, LEZHIN ENTERTAINMENT, 5000000.0, 34158.0, 3.4, 100, 29, 26, 18, 63, 2019년 9월 10일, http://www.lezhin.com/en, LEZHIN+ENTERTAINMENT, 
[2019-09-11 00:33:47,718][DEBUG|dayStoreAppParse.py:27] >> X Photo Editor - Face Aging & Cartoon Effect, com.picstudio.photoeditorplus, 사진, X Pic Studio, 10000000.0, 79297.0, 3.6, 100, 15, 13, 4, 53, 2019년 8월 23일, mailto:aiprocessingstudio@gmail.com, X+Pic+Studio, 
